id	name	calories
1244	Hyderabadi biryani	350
1245	Baeckeoffe	310
1246	Eton mess	260
1247	Khachapuri	290
1248	Banoffee pie	320
1249	Ants climbing a tree	290
1250	Dandan noodles	320
1251	Suanla chaoshou	240
1252	Samgye-tang	240
1253	Spam musubi	280
1254	Bridie	290
1255	Kaju katli	320
1256	Chocolate-covered potato chips	320
1257	Enne gai	240
1258	Ruske kape	230
1259	Spaghetti	210
1260	Grass jelly	80
1261	Salt potatoes	190
1262	Katsudon	340
1263	Pasanda	290
1264	Banitsa	290
1265	Flammekueche	270
1266	Twice-cooked pork	320
1267	Kare-kare	310
1268	Laobing	260
1269	Banmian	270
1270	Honey cake	310
1271	Swiss wing	290
1272	Michigan hot dog	270
1273	Tong sui	180
1274	Taco	240
1275	Sosatie	310
1276	Pap	210
1277	Umngqusho	190
1278	Malva pudding	340
1279	Vichyssoise	150
1280	Zōni	240
1281	Maxwell Street Polish	320
1282	Vetkoek	320
1283	Mealie bread	290
1284	Chakalaka	130
1285	Frikkadel	290
1286	/m/07fr1x	240
1287	Tteokguk	230
1288	Coney Island hot dog	310
1289	Tirokafteri	260
1290	Fesikh	210
1291	Boston cream pie	310
1292	Buttermilk koldskål	180
1293	White boiled shrimp	150
1294	Bagnun	220
1295	Buntil	270
1296	/m/07l949	220
1297	Pisto	190
1298	Dhokla	150
1299	Al pastor	290
1300	St. Paul sandwich	290
1301	Melonpan	240
1302	Haupia	150
1303	Lángos	320
1304	Étouffée	310
1305	Galaktoboureko	290
1306	Börek	280
1307	Suya	310
1308	Rye bread	210
1309	Escudella i carn d'olla	310
1310	Gari	130
1311	Tilkut	270
1312	Botok	230
1313	Tatws Pum Munud	210
1314	Char siu	290
1315	Burgoo	330
1316	Cacık	110
1317	Barfi	320
1318	Mulligan stew	310
1319	Biangbiang noodles	320
1320	Banana pudding	290
1321	Crab cake	310
1322	Chinese sausage	290
1323	Veal	220
1324	Curry bread	320
1325	Pastry heart	290
1326	Crème caramel	270
1327	Panada	230
1328	Pie à la Mode	340
1329	Bonus Jack	370
1330	Princess cake	320
1331	Harihari-nabe	290
1332	Hot chicken	310
1333	Chhena Jhili	320
1334	Grape pie	300
1335	Chicken bog	290
1336	Sausage gravy	270
1337	Derby pie	370
1338	Ice cream cake	330
1339	Swiss steak	310
1340	/m/083tx9	220
1341	Stack cake	310
1342	Lobster Newberg	310
1343	Nikujaga	270
1344	Manti	270
1345	Parmigiana	310
1346	Palatschinke	270
1347	Gujeolpan	240
1348	Rajas con crema	230
1349	Mak-guksu	250
1350	Tetrazzini	310
1351	Squid	210
1352	Palak paneer	230
1353	Krumkake	220
1354	Bolani	290
1355	Pork and beans	270
1356	Nian gao	230
1357	Oysters Rockefeller	290
1358	Tavče gravče	250
1359	Bakkwa	320
1360	Xacuti	310
1361	Sarapatel	290
1362	Taquito	270
1363	Egg drop soup	90
1364	Shaobing	230
1365	Chawanmushi	150
1366	Nshima/Nsima	240
1367	Pollock roe	310
1368	Slinger	350
1369	Japchae	290
1370	St. Honoré cake	320
1371	Barm cake	270
1372	Tulumba	310
1373	Xiaolongbao	240
1374	Delmonico steak	310
1375	Stromboli	320
1376	Kanafeh	370
1377	Hamdog	410
1378	Garri	220
1379	Kofta	290
1380	Chana masala	240
1381	Salo	310
1382	Lung fung soup	90
1383	Dirty rice	290
1384	Urnebes	240
1385	Andouillette	320
1386	Landjäger	250
1387	Fisherman's soup	220
1388	Romeritos	150
1389	Lane cake	340
1390	Pork jelly	200
1391	Idiyappam	230
1392	Smörgåstårta	320
1393	Smažený sýr	310
1394	Arroz con pollo	280
1395	/m/08xmsn	200
1396	Petit gâteau	320
1397	Tea egg	100
1398	Cocada amarela	310
1399	Japanese curry	290
1400	Qeema	290
1401	Unagi	240
1402	Hoppin' John	210
1403	Gyūhi	140
1404	Clafoutis	290
1405	Green curry	240
1406	Gỏi cuốn	230
1407	Chilli crab	320
1408	Lo mai gai	260
1409	Lo mein	290
1410	Puttu	240
1411	Fried pie	320
1412	Spanish rice	230
1413	Nuea phat phrik	290
1414	Jeow bong	320
1415	Massaman curry	310
1416	Ostkaka	270
1417	Guilinggao	100
1418	Spettekaka	330
1419	Cudighi	320
1420	Saltimbocca	260
1421	Sfogliatella	310
1422	Beef chow fun	310
1423	Chow mein sandwich	290
1424	Carnitas	290
1425	Chinese steamed eggs	90
1426	Oyster omelette	290
1427	Garden salad	120
1428	Salade niçoise	190
1429	Dal bhat	240
1430	Biscuits and gravy	320
1431	Omurice	290
1432	Pao cai	80
1433	Nasi liwet	240
1434	Thai suki	220
1435	Moo shu pork	290
1436	Corn crab soup	180
1437	Fabes con almejas	240
1438	Golden Opulence Sundae	410
1439	Ketoprak	230
1440	Mala Mogodu	290
1441	Tekwan	210
1442	Vatrushka	250
1443	Yin Yang fish	290
1444	Boston cream doughnut	310
1445	Ramen	290
1446	Home fries	220
1447	Mustacciuoli	240
1448	Clam cake	270
1449	Sarma	290
1450	Shahe fen	210
1451	Charleston red rice	240
1452	Fish head curry	310
1453	Podvarak	220
1454	Pihtije	90
1455	Popara	230
1456	Kačamak	210
1457	Seolleongtang	240
1458	Gołąbki	270
1459	Szaloncukor	220
1460	Kalduny	290
1461	Zrazy	310
1462	Panettone	340
1463	Ambelopoulia	210
1464	Persimmon pudding	260
1465	Floating island	180
1466	Zeeuwse bolus	290
1467	Ambuyat	130
1468	Smulpaj	320
1469	Moravian spice cookies	220
1470	Mee pok	290
1471	Jjigae	180
1472	Pizza bagel	290
1473	Tteok	190
1474	Brændende kærlighed	310
1475	Beaten biscuit	150
1476	Æbleflæsk	320
1477	Chicken paprikash	290
1478	Tangyuan	230
1479	Tuna pot	250
1480	Burnt ends	340
1481	Jamón ibérico	290
1482	Rakfisk	220
1483	Zarangollo	140
1484	Túró Rudi	220
1485	Flummery	130
1486	Cecina	270
1487	Galinha à portuguesa	290
1488	Ankimo	230
1489	Galinha à africana	300
1490	Cha siu bao	220
1491	Fugu chiri	180
1492	Assidat Zgougou	240
1493	Oxtail stew	310
1494	Laping	150
1495	Chaku	320
1496	Caldillo de perro	210
1497	Sopa de Gato	110
1498	Keledoš	290
1499	Mücver	240
1500	Brotzeit	270
1501	Shekerbura	290
1502	Oeufs en meurette	260
1503	Pappa al pomodoro	230
1504	Teurgoule	180
1505	Bánh xèo	290
1506	Musakhan	320
1507	Maqluba	310
1508	Bob chorba	180
1509	Rum baba	320
1510	Veda bread	210
1511	Fried shrimp	310
1512	Pastilla	270
1513	Strawberry delight	290
1514	Cheese dream	230
1515	Frejon	150
1516	Gyeran-jjim	130
1517	Revithia	140
1518	Nasi bogana	290
1519	Torta de gazpacho	270
1520	Double Down	410
1521	Seri Muka	220
1522	Obi non	190
1523	Garganelli	270
1524	Kig ha farz	320
1525	Mississippi mud pie	370
1526	Eve's pudding	290
1527	Amala	210
1528	Okinawa soba	230
1529	Lamian	240
1530	Soki	270
1531	Chicken Maryland	310
1532	Chanpurū	290
1533	Mlinci	220
1534	Smyrna meatballs	310
1535	Tavern sandwich	310
1536	Yangzhou fried rice	320
1537	Qutab	240
1538	Dum Aloo	250
1539	Queijo do Pico	270
1540	Cocada	290
1541	Calf's liver and bacon	310
1542	Moules-frites	220
1543	Anarsa	250
1544	Tlayuda	270
1545	Šakotis	320
1546	Jollof rice	290
1547	Moin moin	150
1548	Jam roly-poly	310
1549	Hochzeitssuppe	210
1550	Mucenici	180
1551	Ema datshi	270
1552	Ngo hiang	290
1553	Jello salad	160
1554	Claypot chicken rice	290
1555	Maeun-tang	270
1556	Cifantuan	180
1557	Rhubarb pie	270
1558	Olla podrida	320
1559	Har gow	230
1560	Sayur lodeh	210
1561	Memela	240
1562	Wenchang chicken	290
1563	Galinhada	310
1564	Lecsó	210
1565	Gypsy tart	330
1566	Bougatsa	290
1567	Germknödel	240
1568	Haystack	220
1569	Yule log	340
1570	Butter cookie	160
1571	Chicken à la King	320
1572	Méchoui	290
1573	Croquette	260
1574	Shami kebab	290
1575	Chicken and waffles	370
1576	Poke	210
1577	Punsch-roll	290
1578	Turtle soup	240
1579	Kansar	260
1580	Glamorgan sausage	270
1581	Mango pudding	210
1582	Bánh canh	250
1583	Caparrones	240
1584	Zopf	230
1585	Bath bun	290
1586	Chelsea bun	310
1587	London bun	290
1588	Saffron bun	220
1589	Chakhchoukha	270
1590	Angel food cake	160
1591	Lalab	130
1592	Suckling pig	320
1593	Barmbrack	290
1594	Kotlet schabowy	310
1595	Pastel de nata	270
1596	Shave ice	180
1597	Tipsy cake	330
1598	Creamed eggs on toast	230
1599	Kerak telor	290
1600	Ogok-bap	230
1601	Mortadella	290
1602	Nut roll	270
1603	Fried green tomatoes	220
1604	Beondegi	150
1605	Tsoureki	290
1606	Tiropita	260
1607	Pljeskavica	310
1608	Karađorđeva šnicla	350
1609	Kokoretsi	290
1610	Skilpadjies	270
1611	Corn chowder	180
1612	Tarhana	210
1613	Tufahije	240
1614	Birria	290
1615	Veal Orloff	320
1616	Fattoush	150
1617	Pane carasau	190
1618	Rab cake	310
1619	Buffalo burger	350
1620	Treacle tart	320
1621	Hamburger	290
1622	Stamppot	240
1623	Kopytka	250
1624	Khai yat sai	270
1625	Minchee	290
1626	Kinema	230
1627	Sgabeo	270
1628	Chili dog	310
1629	Spaghetti alle vongole	260
1630	Bavarian cream	240
1631	Bhaji	180
1632	Kachori	260
1633	Chowder	220
1634	Scotch broth	180
1635	Pea soup	120
1636	Kitfo	250
1637	Gored gored	290
1638	Bánh chưng	320
1639	Bún bò Huế	290
1640	Bò 7 món	310
1641	Cơm tấm	280
1642	Ambrosia	260
1643	Rönttönen	210
1644	Balchão	320
1645	Gibassier	240
1646	Bacalhau à Zé do Pipo	310
1647	Pane di Altamura	230
1648	Mykyrokka	210
1649	Paska	270
1650	Blackberry pie	290
1651	Mince pie	320
1652	Corn cookie	190
1653	Francesinha poveira	350
1654	Picadillo	290
1655	Runeberg torte	320
1656	Khakhra	160
1657	Ohn no khao swè	220
1658	Sultsina	150
1659	/m/0crv0m	210
1660	Paella	320
1661	Espetada	290
1662	Pathiri	230
1663	Horumonyaki	270
1664	Khubz	210
1665	Ciorbă	180
1666	Kimchi-buchimgae	290
1667	Sesame chicken	310
1668	Thukpa	250
1669	Chwinamul	190
1670	Kabuni	270
1671	Jhunka	230
1672	Jolada rotti	210
1673	Spoonbread	220
1674	Kulich	310
1675	Phat khing	290
1676	Namasu	110
1677	Wonton noodles	270
1678	Johnnycake	240
1679	Panellets	260
1680	Manjū	220
1681	Mandi	310
1682	Fortune cookie	90
1683	Noppe	150
1684	Slavink	290
1685	Cockle bread	230
1686	Caruru	290
1687	Chả lụa	240
1688	Pan bagnat	290
1689	Sardenara	270
1690	Enchilada	310
1691	Sausage sandwich	290
1692	Pistachio pudding	230
1693	Chikki	270
1694	Champorado	320
1695	Coconut cake	370
1696	Kaassoufflé	270
1697	Carne pizzaiola	290
1698	Khauk swè thoke	230
1699	Gamja-tang	290
1700	Kadhi	180
1701	Green bean casserole	230
1702	Apple dumpling	310
1703	Cozonac	290
1704	Pissaladière	270
1705	Phat si-io	290
1706	Drunken noodles	310
1707	Jing Jiang Rou Si	280
1708	Enduri Pitha	240
1709	Kakara pitha	220
1710	Tarta de Santiago	310
1711	/m/0dn9nd	220
1712	Sheftalia	290
1713	Soybean sprout	110
1714	Italian hot dog	310
1715	Makchang	340
1716	Meeshay	290
1717	Bacalhau com natas	310
1718	Mazurek	320
1719	Nan gyi thohk	290
1720	Ajapsandali	190
1721	Carac	240
1722	Mont di	270
1723	Geng	240
1724	Vispipuuro	160
1725	Bakso	290
1726	Canjica	220
1727	Fougasse	270
1728	Fool's Gold Loaf	410
1729	Blueberry pie	290
1730	Pickled cucumber	80
1731	Ogbono soup	290
1732	Champ	210
1733	Oysters en brochette	320
1734	Paskha	290
1735	Shish taouk	290
1736	Acarajé	320
1737	Ras malai	270
1738	San-nakji	210
1739	Bungeo-ppang	220
1740	Skilandis	290
1741	Gosh-e Fil	230
1742	Nasi dagang	290
1743	Gheimeh	310
1744	Fesenjān	320
1745	Bacalhau à Gomes de Sá	290
1746	Fårikål	240
1747	Bedfordshire clanger	320
1748	Tonkatsu	320
1749	Thai fried rice	310
1750	Manakish	290
1751	Schweinshaxe	350
1752	Chorba	270
1753	Oliebol	290
1754	Ropa vieja	290
1755	Natchitoches meat pie	320
1756	Icebox cake	270
1757	Sorrel soup	120
1758	Lahoh	190
1759	Bolillo	230
1760	Mollete	240
1761	Caldeirada	310
1762	Ogi	90
1763	Watergate salad	260
1764	Yaksik	320
1765	Half-smoke	290
1766	Dakos	270
1767	Sweet potato pie	290
1768	Cappon magro	290
1769	Serundeng	260
1770	Rijstevlaai	320
1771	Ajoblanco	180
1772	Yaka mein	290
1773	Jujeh kabab	310
1774	Soy egg	120
1775	Shuizhu	310
1776	Puliyogare	290
1777	Sago	150
1778	Laulau	320
1779	Curtido	100
1780	Tapai	150
1781	Press cake	290
1782	Cuchifritos	290
1783	Vlaai	310
1784	Malvern pudding	270
1785	Baklava	370
1786	Cheese dog	290
1787	Luchi	240
1788	Cowboy beans	310
1789	Sandesh	260
1790	Steak Diane	310
1791	Lobster stew	220
1792	Finikia	270
1793	Bibingka	290
1794	Tafelspitz	310
1795	Ploye	210
1796	Sayur asem	180
1797	Trinxat	290
1798	Nikuman	230
1799	Cozido à portuguesa	310
1800	Bacalhau à Brás	290
1801	Tomato compote	120
1802	Sesame seed candy	310
1803	Dhebra	230
1804	Kaeng pa	290
1805	Mas riha	310
1806	Zosui	230
1807	Yassa	290
1808	Pambazo	270
1809	Imarti	320
1810	Bacalhau com todos	290
1811	Black pepper crab	320
1812	Queso flameado	290
1813	Black and white cookie	230
1814	Red braised pork belly	320
1815	Krofne	290
1816	Uštipci	270
1817	Rožata	250
1818	Punjena paprika	270
1819	Fusi	230
1820	Maneštra	240
1821	Kroštule	270
1822	Fritule	320
1823	Protein bar	210
1824	Cordon bleu	320
1825	Pirog	290
1826	Pachi Pulusu	180
1827	Frigărui	270
1828	Chhena poda	320
1829	Poornalu	240
1830	Ponganalu	220
1831	Bing	290
1832	Flaouna	270
1833	Chakodi	260
1834	Aloo paratha	270
1835	Konro	310
1836	Cemita	290
1837	Asinan	190
1838	Broa	270
1839	Trifle	290
1840	Rat na	270
1841	Borlengo	230
1842	Gazpachuelo	140
1843	Esterházy torte	370
1844	Magenbrot	240
1845	Detroit-style pizza	320
1846	Fuling jiabing	270
1847	Lakhamari	290
1848	Mućkalica	310
1849	Sukhdi	320
1850	Kilishi	290
1851	Baji	210
1852	Peanut butter cookie	240
1853	Rabbit pie	310
1854	Paling in 't groen	220
1855	Chataamari	250
1856	Lawar	230
1857	Arisa Pitha	210
1858	Empal gentong	290
1859	Carne asada fries	320
1860	Takikomi gohan	230
1861	Kamameshi	290
1862	Pasta salad	230
1863	Fasole cu cârnaţi	270
1864	Zelnik	250
1865	Plăcintă	290
1866	Tongseng	310
1867	Soto mie	270
1868	Sarburma	290
1869	Lutefisk	220
1870	Khichdi	240
1871	Briouat	290
1872	Chili burger	320
1873	Bolo de mel	290
1874	Clootie	320
1875	Seswaa	290
1876	Tahu sumedang	220
1877	Pichelsteiner	270
1878	Bread soup	190
1879	Scotcheroos	320
1880	Kartoffelkäse	290
1881	Schuxen	270
1882	Caramel	320
1883	Zwetschgenkuchen	310
1884	Alloco	220
1885	Vangibath	240
1886	Torricado	230
1887	Phat phrik khing	290
1888	Tomato and egg soup	120
1889	/m/0h65ym4	190
1890	Spanakorizo	180
1891	Ostropel	240
1892	Tamale	290
1893	Seattle-style hot dog	320
1894	Ammonia cookie	90
1895	Boston baked beans	240
1896	Amandine	290
1897	Duck blood and vermicelli soup	270
1898	Azerbaijani pakhlava	370
1899	Bakwan	240
1900	Wallenbergare	320
1901	Pastry	290
1902	Melomakarono	270
1903	Cocido lebaniego	310
1904	Koi	220
1905	Stir-fried tomato and scrambled eggs	230
1906	Flæskesteg	310
1907	Beggar's Chicken	320
1908	/m/0hzpvf0	190
1909	Konkonte	270
1910	Stuffed squash	290
1911	Kaeng som	290
1912	Kentucky jam cake	320
1913	Murături	180
1914	Tochitură	310
1915	Urap	230
1916	Cornulețe	270
1917	Quad City-style pizza	310
1918	Paneer tikka	290
1919	Ciorbă de perișoare	270
1920	/m/0j66841	220
1921	Shaker lemon pie	310
1922	Doodhpak	270
1923	Ceviche	190
1924	Cabbage soup	110
1925	Nasi timbel	290
1926	Pa amb tomàquet	230
1927	Escalivada	190
1928	Međimurska gibanica	320
1929	Khanom chan	150
1930	Ohaw	210
1931	Baghrir	150
1932	Hummingbird cake	320
1933	Neapolitan pizza	290
1934	Doughnut	290
1935	Hummus	210
1936	Nimono	190
1937	Chocolate chip cookie	210
1938	Bún ốc	240
1939	Cheese straw	260
1940	Sausage	290
1941	Frogeye salad	220
1942	Senate bean soup	180
1943	Botifarra	290
1944	Leberknödel	250
1945	Laziji	290
1946	Quzi	310
1947	Chazuke	180
1948	Sandwich	290
1949	BLT	310
1950	Chikhirtma	210
1951	Pico de gallo	90
1952	Oden	240
1953	Tostada	290
1954	Chilaquiles	270
1955	Cocido montañés	310
1956	Lontong Cap Go Meh	320
1957	Porra antequerana	180
1958	Kedjenou	290
1959	Tourin	210
1960	Attiéké	180
1961	Dak-bokkeum-tang	320
1962	Žemlovka	290
1963	Dovga	160
1964	Rice and gravy	240
1965	Sai ua	290
1966	Nam ngiao	250
1967	Kaeng khae	240
1968	Kaeng tai pla	310
1969	Dim sum	270
1970	Tahri	290
1971	Bolo do caco	270
1972	Buffalo wing	320
1973	Pustakari	210
1974	Pieds paquets	290
1975	Tinginys	270
1976	Sunnundallu	240
1977	Lapskaus	310
1978	Caldo tlalpeño	240
1979	Milho frito	220
1980	Kalu dodol	320
1981	Poppyseed muffin	270
1982	Peanut soup	240
1983	Tarte à la Bouillie	270
1984	Caldo gallego	210
1985	Samay Baji	290
1986	Limburger sandwich	290
1987	Huachinango a la Veracruzana	310
1988	Sambal stingray	310
1989	Kuluban	290
1990	Modjeska	320
1991	Pan dulce	290
1992	Florina pepper	180
1993	Oysters Bienville	320
1994	Cronut	370
1995	Duck rice	310
1996	Sulu köfte	290
1997	Toyga soup	210
1998	Majjige huli	240
1999	Ikan goreng	290
2000	Lekor	240
2001	Ciulama	230
2002	Ayam bakar	290
2003	Hinava	220
2004	Waakye	290
2005	Salbute	230
2006	Kuchmachi	270
2007	Kibinai	290
2008	Lobiani	260
2009	Chanakhi	310
2010	Baghali ghatogh	240
2011	Pkhali	190
2012	Poc Chuc	290
2013	Bionico	270
2014	Bamischijf	320
2015	Racuchy	250
2016	Kuurdak	310
2017	Hokkien fried rice	320
2018	Mu kratha	330
2019	Thong yip	210
2020	Zuppa toscana	240
2021	Dhindo	230
2022	Thiakry	180
2023	Kondowole	150
